source	translation	literal_translation
DHP11	Taking the unessential for the essential and the essential for the unessential, they do not reach the essential, ranging in the field of wrong thoughts.	In the essenceless, [being] ones who perceive essence; and in the essential, [being] ones who see the essenceless; they do not reach essence, [being] ones whose range is wrong intention.
DHP12	Knowing the essential as essential and the unessential as unessential, they reach the essence, ranging in the sphere of right intention.	And having known the essential as essential and the unessential as unessential, they attain the essential, [being those] having right thought as their field of activity.
DHP13	Just as the rain penetrates a poorly-roofed house, so lust penetrates an undeveloped mind.	Just as a poorly-roofed house the rain penetrates, so an undeveloped mind lust penetrates.
DHP14	Just as rain does not penetrate a well-thatched house, even so lust does not penetrate a well-developed mind.	Just as a house well-thatched, rain not penetrates; even so a well-developed mind, lust not penetrates.
DHP15	Here he sorrows, hereafter he sorrows; the evil-doer sorrows in both states. He sorrows, he is afflicted, seeing the impurity of his own deeds.	Here he sorrows, after death he sorrows, the evil-doer in both places sorrows; he sorrows, he is troubled, having seen the soiled action of himself.
DHP16	Here he rejoices, hereafter he rejoices; the doer of merit rejoices in both worlds. He rejoices and is jubilant, seeing the purity of his own deeds.	Here he rejoices, after death he rejoices; the merit-maker in both places rejoices. He rejoices, he is delighted, having seen the purity of his own action.
DHP17	Here he suffers remorse, after death he suffers remorse; the evil-doer suffers remorse in both cases. He suffers remorse thinking 'Evil has been done by me'; having gone to a state of misery, he suffers remorse even more.	Here he suffers remorse, after death he suffers remorse, the evil-doer in both places suffers remorse, 'Evil by me is done' thus he suffers remorse, more he suffers remorse having gone to a state of misery.
DHP18	Here he rejoices, after death he rejoices; the maker of merit rejoices in both worlds. Thinking 'I have done merit,' he rejoices; he rejoices even more when he has gone to a happy state.	Here he rejoices, after death he rejoices, the one who has done merit in both places rejoices; 'Merit by me [has been] done,' thus he rejoices; still more he rejoices, [having] gone [to] a good destination.
DHP19	Even if he recites much of the scriptures, but if a heedless man does not act accordingly, like a cowherd counting others' cows, he has no part in the ascetic life.	Even if much connected text speaking, not acting accordingly is a man heedless; like a cowherd cows counting of others, not a partaker of monkhood he is.
DHP20	Even if he recites but little of the scriptures, yet lives according to the Dhamma; having abandoned passion, aversion, and delusion, possessing perfect knowledge and a well-liberated mind, not clinging to anything in this world or the next—he shares in the fruits of the monkhood.	Even a little if the scriptures speaking, of the Dhamma he is a liver-according-to-the-Dhamma, passion and aversion and having abandoned delusion, perfectly knowing well-liberated-mind, not-clinging here or there or, he sharing-in of monkhood is.
DHP21	Heedfulness is the path to the deathless; heedlessness is the path of death. The heedful do not die; those who are heedless are as if already dead.	Heedfulness [is] the path to the deathless, heedlessness [is] the path of death; the heedful [ones] do not die, those who [are] heedless [are] like dead [ones].
DHP22	Understanding this distinctly, the wise ones, diligent in heedfulness, rejoice in heedfulness, delighting in the domain of the Noble Ones.	Having known this distinctly, the wise in heedfulness, rejoice in heedfulness, delighted in the domain of the Noble Ones.
DHP23	Those wise ones, meditative and diligent, always possessing firm persistence, attain Nibbāna, the unsurpassed security from bondage.	Those meditators, diligent ones, always having persistent effort, they reach Nibbāna, the wise ones, the unsurpassed security from the yoke.
DHP24	For one who is energetic, mindful, pure in deed, acting with care, self-controlled, living righteously, and diligent, their fame increases greatly.	Of the energetic, of the mindful, of the one pure in deed, of the careful doer, of the restrained, of the righteous liver, and of the diligent, fame increases greatly.
DHP25	By effort and heedfulness, by restraint and self-control, let the wise man make for himself an island which no flood can overwhelm.	By effort and by heedfulness, by restraint and by self-control, an island let the wise man make, which the flood does not overwhelm.
DHP26	Foolish, unwise people indulge in negligence; but the wise person guards heedfulness like their best treasure.	Fools, unwise people, indulge in negligence; and the wise one guards heedfulness like a best treasure.
DHP27	Do not indulge in heedlessness, nor in intimacy with sensual delight; for the heedful one, meditating, attains vast happiness.	Do not engage in negligence, do not engage in intimacy with delight in sensual pleasure; for the diligent one meditating, attains vast happiness.
DHP28	When the wise person drives away negligence through diligence, having ascended the palace of wisdom, sorrowless, he looks down upon the sorrowing people; just as one standing on a mountain looks down upon those standing on the ground, the wise one looks down upon the fools.	When the sage drives away negligence by diligence, having climbed the tower of wisdom, sorrowless, he looks at the sorrowful people; as one standing on a mountain looks at those standing on the ground, the wise man looks at the fools.
DHP29	Diligent among the heedless, wide awake among those asleep, the wise one moves forward like a swift horse leaving behind a weak one.	Diligent among the heedless, much-awake among those asleep, like a swift horse having left behind a weak horse, the wise one goes.
DHP30	By diligence, Maghavā reached the highest state among the gods. The wise praise diligence; heedlessness is always blamed.	By means of diligence, Maghavant went to pre-eminence of the gods; they praise diligence; heedlessness is blamed always.
DHP31	A monk who delights in diligence and sees danger in negligence moves along like a fire, burning up every fetter, whether small or large.	A monk delighting in non-heedlessness, or seeing danger in heedlessness, burning a fetter, subtle (and) gross, goes like a fire.
DHP32	A monk who delights in diligence and sees danger in negligence is incapable of falling away; he is right in the presence of Nibbāna.	A monk delighting in diligence, or seeing danger in negligence, is incapable of decline, indeed in the vicinity of Nibbāna.
DHP33	The wise man makes straight the trembling, fickle mind, which is difficult to guard and hard to restrain, just as a fletcher straightens an arrow.	The trembling, fickle mind, hard to protect, difficult to restrain, the wise man makes straight, like a fletcher [straightens] an arrow-shaft.
DHP34	Like a fish thrown onto dry land, pulled out from its watery home, this mind flops about in order to escape the realm of Māra.	Like a fish thrown on dry land, pulled out from its watery home, this mind flops about to give up the realm of Māra.
DHP35	Control of the mind—which is difficult to restrain, swift, and landing wherever it wants—is good. A tamed mind brings happiness.	Of [the mind] hard to restrain, swift, landing wherever it wants, of the mind control is good. The mind tamed brings happiness.
DHP36	Extremely difficult to see, very subtle, and landing wherever it likes: the wise man should guard the mind. A guarded mind brings happiness.	Extremely difficult to see, very subtle, landing wherever it wants: the wise person should guard the mind; the guarded mind is a bringer of happiness.
DHP37	Those who restrain the mind—which travels far, wanders alone, is bodiless, and lies hidden in the heart—will be freed from the bond of Māra.	Those who will restrain the mind, far-ranging, wandering alone, bodiless, dwelling in the cave [of the heart], will be freed from the bond of Māra.
DHP38	Wisdom does not become full for one whose mind is unstable, who does not know the true Teaching, and whose confidence wavers.	Of one with an unstable mind, of one not knowing the true doctrine, of one whose faith is wavering, wisdom does not fully mature.
DHP39	For one whose mind is free of lust, whose mind is unruffled, who has transcended both merit and evil—for such a wakeful one, there is no fear.	For one whose mind is not oozing, whose mind is not ruffed, who has abandoned merit and evil—there is no fear for the one awake.
DHP40	Realizing that this body is as fragile as a clay pot and fortifying this mind like a fortress, one should attack Mara with the weapon of wisdom; one should protect what has been won and remain without attachment.	Having known this body to be like a clay pot, having established this mind like a fortress, one should fight Mara with the weapon of wisdom; and one should protect what is conquered, one should be without clinging.
DHP41	Before long, alas, this body will lie upon the earth, cast aside, devoid of consciousness, like a useless log.	Soon indeed this body upon the earth will lie, thrown away, devoid of consciousness, like a useless piece of wood.
DHP42	Whatever harm an enemy may do to an enemy, or a hater to a hater, a wrongly directed mind can do one even greater harm than that.	Whatever an enemy might do to an enemy, or a hostile person to a hostile person; a wrongly directed mind might make one worse than that.
DHP43	Neither mother nor father, nor any other relative, can do one as much good as a well-directed mind.	Neither mother nor father could do that, nor even other relatives; a well-directed mind could do for him even better than that.
DHP44	Who will investigate this earth and this world of Yama with its gods? Who will investigate the well-taught verse of Dhamma, just as a skilled person plucks a flower?	Who this earth will investigate, and this Yama-world together with gods? Who the well-taught Dhamma-verse, as a skilled [one] like a flower will pluck?
DHP45	The trainee will understand this earth and the world of Yama with its gods; the trainee will understand the well-taught verse of the Dhamma, just as a skilled person picks a flower.	The trainee will investigate the earth and this Yama-world including the devas; the trainee will pick the well-taught Dhamma-verse, like a skilled person picks a flower.
DHP46	Knowing this body to be like foam, realizing its mirage-like nature, cutting off the flower-tipped arrows of Mara, one should go where the King of Death cannot see.	Having known this body [to be] foam-like, fully understanding [it as having] mirage-nature, having cut the flower-arrows of Mara, one should go to the not-seeing of the King of Death.
DHP47	Death carries off the man who is only picking flowers, whose mind is obsessed, just as a great flood carries off a sleeping village.	Picking flowers indeed, a man with an attached mind, death, taking [him], goes, like a great flood [taking] a sleeping village.
DHP48	Death brings under its power the person who is picking flowers, whose mind is attached to them, and who is never satisfied with sensual pleasures.	The Ender brings under his control the man indeed picking flowers, with an attached mind, even unsatisfied in sensual pleasures.
DHP49	Just as a bee takes the nectar and flies away without harming the flower's beauty and fragrance, so should the sage move through the village.	Just as a bee, taking the nectar, goes away without harming the flower, its beauty and its fragrance, thus in the village the sage should move.
DHP50	Not the faults of others, not what others have done or left undone; one should consider only what oneself has done and left undone.	Not of others the disagreeable things, not of others what is done and not done; only of oneself one should consider things done and things not done.
DHP51	Just like a beautiful flower that is colorful but scentless, even so, well-spoken words are fruitless for one who does not act on them.	Just as a beautiful flower, having color [but] without scent, even so well-spoken speech is fruitless it is for one not doing.
DHP52	Just like a beautiful flower, which has color and is fragrant, so well-spoken words are fruitful for one who acts.	Just as a beautiful flower, having color [and] having fragrance, thus well-spoken speech is fruitful for one who is doing.
DHP53	Just as from a heap of flowers many garlands can be made, so by a mortal once born, much good should be done.	Just as from a heap of flowers one might make many garlands, thus by a born mortal should be done much good.
DHP54	The fragrance of flowers does not travel against the wind, nor does that of sandalwood, tagara, or jasmine. But the fragrance of the virtuous does travel against the wind; the good man wafts in all directions.	The fragrance of flowers does not go against the wind, nor sandalwood, nor tagara and jasmine; but the fragrance of the virtuous goes against the wind; a good man wafts unto all directions.
DHP55	Sandalwood, tagara, blue water lily, or even Arabian jasmine—of these varieties of fragrance, the fragrance of virtue is supreme.	Sandalwood, tagara flower, or even blue water lily, then Arabian jasmine; of these kinds of perfume, the fragrance of virtue is unsurpassed.
DHP56	This scent of jasmine and sandalwood is slight; but the scent of the virtuous is supreme, wafting even among the gods.	Small is this scent, which is this tagara and sandalwood; but the scent of the virtuous wafts among the gods, supreme.
DHP57	Mara does not find the path of those who are perfect in virtue, who dwell in heedfulness, and who are liberated through perfect knowledge.	Of those perfect in virtue, dwelling in heedfulness, liberated through perfect knowledge, Mara does not find the path.
DHP58	Just as in a heap of rubbish discarded on the high road, a sweet-smelling and delightful lotus might grow there.	Just as in a rubbish-place, discarded on a main road, a lotus there might grow, sweet-smelling, mind-pleasing.
DHP59	Thus, among those who have become like rubbish, among the ordinary people who are blinded by ignorance, the disciple of the Perfectly Enlightened Buddha outshines them with wisdom.	Thus, in those become like rubbish, in the ordinary person become blind, the disciple of the Perfectly Awakened One outshines by wisdom.
DHP60	Long is the night to one who is awake; long is the league to one who is tired; long is the round of rebirths for fools who do not know the True Teaching.	Long [is] the night of the one being awake; long [is] the league of the tired one; long [is] the wandering-on of fools not knowing the True Teaching.
DHP61	If, while wandering, one does not find a companion better than or equal to oneself, one should firmly resolve to live alone; there is no friendship with a fool.	If, wandering, one should not find a better [one or] one similar to oneself, one should do solitary wandering firmly; there is no companionship in a fool.
DHP62	'I have sons, I have wealth,' thus the fool troubles himself. Since even his own self is not his own, how can he have sons or wealth?	'Sons are for me, wealth is for me,' thus the fool suffers. Since the self indeed is not for the self, from where are sons, from where is wealth?
DHP63	The fool who knows his foolishness is wise at least to that extent, but the fool who thinks himself wise is called a fool indeed.	Whoever being a fool knows his foolishness, he is wise by that; but the fool who imagines himself wise, he is truly called 'a fool'.
DHP64	Even if for his whole life a fool associates with a wise man, he does not understand the Dhamma, just as a spoon does not know the taste of the soup.	Even if for as long as life lasts a fool closely attends to a wise man, he does not comprehend the teaching, like a spoon the taste of soup.
DHP65	If even for a moment a wise person associates with a sage, they quickly understand the Dhamma, just as the tongue tastes the flavor of the soup.	If even for a moment a wise person associates with a wise man, quickly they comprehend the Teaching, like the tongue the taste of soup.
DHP66	Fools of poor wisdom practice [life] with themselves as if with an enemy, doing evil deeds which have bitter results.	Fools, the unwise ones, wander with [their own] self just like with an enemy, performing evil action which is of bitter fruit.
DHP67	That deed is not well done which, after doing it, one regrets, and the consequences of which one reaps with a tearful face and weeping.	That action done is not good, which having done one regrets, [and] whose result one experiences crying [with] a tear-stained face.
DHP68	But that deed is well done which, after doing it, one does not regret, and whose result one experiences with a satisfied and happy mind.	But that deed [is] done well, which having done [one] does not regret, of which [one] satisfied [and] happy-minded, experiences the result.
DHP69	The fool thinks it is sweet as honey as long as the evil deed does not ripen; but when the evil deed ripens, the fool undergoes suffering.	A fool thinks it is sweet as honey as long as evil does not ripen; but when the evil ripens, the fool undergoes suffering.
DHP70	Month after month, even if a fool should eat his food with the tip of a blade of kusa grass, he is not worth a sixteenth part of those who have comprehended the Dhamma.	Month by month, with the tip of kusa [grass], a fool might eat food; he is not worth a sixteenth part of those who have comprehended the Dhamma.
DHP71	An evil deed that has been done does not certainly curdle at once, like milk. It follows the fool, smoldering, like fire covered by ashes.	For an evil action having been done does not instantly turn like milk; it follows the fool burning, like fire covered with ashes.
DHP72	Knowledge arises for a fool only to his own harm; it destroys the fool's good fortune, splitting apart his head.	Only for harm knowledge for a fool arises; it harms of the fool the bright portion, of him the head splitting apart.
DHP73	He might wish for unwarranted status, precedence among the monks, authority in the monasteries, and homage from other families.	He might wish for unwarranted status, and precedence among the monks, and authority in the monasteries, homage in other families and.
DHP74	“Let both laypeople and monastics think that this was done by me alone; let them be under my control alone in all duties, whatever they may be.” Such is the fool’s intention; his desire and pride increase.	“By me alone something done let them think, householders and monastics both; under my control alone let them be, in duties and non-duties in anything”; thus of the fool the intention, desire and pride increase.
DHP75	One is the way to material gain, another is the way to Nibbāna. Having clearly understood this, a monk, a disciple of the Buddha, should not delight in worldly honor but should foster seclusion.	For one (is) the cause for gain, another (is) leading to Nibbāna; having understood this thus, a monk, a disciple of the Buddha, should not delight in honor, he should foster seclusion.
DHP76	One should follow a wise person who reproves and points out faults, as if they were a pointer out of hidden treasures. For one who follows such a person, it is better, not worse.	Like a proclaimer of treasures, whom one should see as a fault-seer, a reprover, an intelligent man—such a sage one should associate with. For one associating with such a one, better it becomes, not worse.
DHP77	One should advise, one should instruct, and one should restrain from bad manners; for such a person is dear to the virtuous and undear to the unvirtuous.	One should advise and one should instruct, and from impoliteness one should restrain; for he is dear to the virtuous, he is undear to the unvirtuous.
DHP78	One should not associate with bad friends, nor with the lowest of men. One should associate with good friends, and with the best of men.	Not should associate with bad friends, not should associate with worst men; should associate with good friends, should associate with highest men.
DHP79	He who drinks the Dhamma dwells happily with a serene mind; the wise man always delights in the Dhamma proclaimed by the Noble One.	One drinking the Dhamma happily dwells with a serene mind; the wise man always delights in the Dhamma proclaimed by the Noble One.
DHP80	Irregators lead the water, fletchers bend the arrow, carpenters shape the wood, and the wise tame themselves.	Irrigators indeed lead the water, arrow-makers bend the arrow-shaft, carpenters bend the wood, the wise tame the self.
DHP81	Just as a solid rock is not shaken by the wind, so the wise are not moved by blame and praise.	A rock just as solid, by the wind not is shaken, thus amidst blame and praise, not move the wise.
DHP82	Just as a deep pool is clear and undisturbed, so the wise, having heard the teachings, become serene.	Just as a pool [is] deep, clear, [and] undisturbed; thus, having heard the teachings, the wise become serene.
DHP83	Everywhere indeed the virtuous give up attachment; the good do not chatter with a desire for sensual pleasures. Whether touched by happiness or by pain, the wise display no elation or depression.	Everywhere indeed virtuous men give up [attachment]; virtuous ones not desiring sensual pleasure do not chatter. Touched by happiness or indeed by pain, the wise do not display high and low [fluctuation].
DHP84	Neither for one's own sake nor for the sake of another, should one desire a son, wealth, or a kingdom; nor should one desire one's own success by unjust means. Such a person is virtuous, wise, and righteous.	Not for the sake of self, not for the sake of another, he should not wish for a son, not wealth, not a kingdom; he should not wish for his own success by unrighteousness; he would be virtuous, wise, and righteous.
DHP85	Few are those among men who reach the far shore; the rest of mankind only runs up and down along the bank.	Few are those among humans, which people are goers to the far shore; but this other mankind only runs along the bank.
DHP86	But those who follow the Dhamma in the Dhamma well-taught, those people will reach the far shore, across the realm of death which is so difficult to cross.	And indeed whoever in the well-taught teaching are followers of the teaching, those people will go to the far shore, across the realm of death extremely difficult to cross.
DHP87	Abandoning the dark state, the wise man should develop the bright. Having gone from home to homelessness, in seclusion where it is difficult to find delight...	Having completely abandoned the dark state, the wise man should develop the bright; having come to homelessness from home, in seclusion where it is hard to delight.
DHP88	There he should seek delight, having abandoned sensual pleasures and possessing nothing; the wise man should cleanse himself from the defilements of the mind.	There delight he should desire, having abandoned sensual pleasures, being without possessions, he should cleanse himself from mental defilements, the wise man.
DHP89	Those whose minds are well cultivated in the factors of enlightenment, who delight in relinquishing attachment without grasping, they—radiant ones with effluents destroyed—attain final Nibbāna in the world.	Of whom in the elements of full awakening the mind is thoroughly well cultivated, in the relinquishing of grasping, not holding onto, who are delighted, with effluents exhausted, the radiant ones, they in the world are completely quenched.
DHP90	For one who has completed the journey, who is free from sorrow, who is released in every way, and who has abandoned all bonds, no fever of passion is found.	Of the one whose journey is finished, the one without grief, the one freed everywhere, the one whose all bonds are abandoned, distress does not exist.
DHP91	The mindful depart; they do not delight in a home. Just as swans leave their pond, they abandon every abode.	The mindful ones set out; they do not delight in a home. Like swans having left a pond, they abandon home after home.
DHP92	Those who have no accumulation, who have fully understood the fuel of existence, whose domain is the void and the signless liberation—their track, like that of birds in the sky, is hard to trace.	Of whom accumulation there is not, who have fully understood food, for whom void and signless liberation is the domain, like the birds in the sky, their track is hard to follow.
DHP93	One whose defilements are exhausted, who is not dependent on food, whose range is the liberation of emptiness and the signless—their track is hard to trace, like that of birds in the sky.	Of whom the outflows are exhausted, and in food not dependent, emptiness and signless and liberation of whom [is] the range, like of birds in the sky, the path of him [is] difficult to follow.
DHP94	Even the gods envy him whose senses are stilled like horses well tamed by a trainer, who has abandoned conceit and is free from taints.	Of whom the senses are stilled, like horses well tamed by a trainer, of the one with conceit abandoned, of the taintless one, even the gods envy that such a one.
DHP95	Like the earth, he is not opposed; like a gatepost is such a person of good vows; like a lake free from mud, for such a one there are no more rebirths.	Like earth not is opposed, gatepost-like such well-vowed [person], lake-like free-from-mud, rebirths not exist of such a one.
DHP96	His mind is calm, calm are his speech and action, of one who is liberated by perfect knowledge, who is tranquil and unaffected.	Calm is his mind, calm are his speech and action, of the one liberated through perfect knowledge, of the calmed one, of such a character.
DHP97	The man who is not credulous, who knows the uncreated, who has broken the connection to rebirth, who has destroyed all opportunity for further existence, and who has given up all desire—he is indeed a supreme person.	The man who (is) not credulous, a knower of the uncreated, and a connection-breaker, and whatever man (is) one whose opportunity is destroyed, whose desire is given up, he indeed (is) a supreme person.
DHP98	Whether in a village or in a forest, whether in a valley or on high ground—wherever Arahants dwell, that place is delightful.	In a village or whether in a forest, in a valley or whether on high ground, wherever Arahants dwell, that is a delightful place.
DHP99	Delightful are the forests where ordinary people find no delight. Those free from passion will find delight there, for they are not seekers of sensual pleasure.	Beautiful are the forests, where the person does not delight; those free from passion will delight, they are not seekers of sensual pleasure.
DHP100	Even a thousand words, if they are composed of meaningless lines, are not as good as a single meaningful word, which, having been heard, brings peace.	Even a thousand [words] if words [are] connected with meaningless lines, one meaningful line [is] better, which having heard [one] is calmed.
DHP101	Even if there are a thousand verses composed of unbeneficial lines, one line of verse is better, hearing which one is calmed.	Even if [there be] a thousand verses composed of unbeneficial words, one verse-line [is] better, which having heard, [one] is calmed.
DHP102	And though one should recite a hundred verses composed of unbeneficial lines, one word of the teaching is better, which having heard, one is calmed.	And whoever should recite a hundred verses connected with unbeneficial sayings, one word of the Dhamma is better, having heard which, one is calmed.
DHP103	Though one should conquer a million men in battle, yet he who conquers himself is the supreme victor in battle.	Whoever should conquer a thousand by a thousand men in battle, and should conquer one—himself—he indeed is the supreme victor in battle.
DHP103-104	Though one should conquer a million men in battle, yet he who conquers himself is the supreme victor in battle. Victory over oneself is truly better than victory over all other people, for a person who is self-controlled and always lives with self-restraint.	Whoever should conquer a thousand by a thousand men in battle, and should conquer one—himself—he indeed is the supreme victor in battle. Self truly conquered [is] better than this other offspring; for a person of self-tamed [one], always of [one] acting with self-control.
DHP104	Victory over oneself is truly better than victory over all other people, for a person who is self-controlled and always lives with self-restraint.	Self truly conquered [is] better than this other offspring; for a person of self-tamed [one], always of [one] acting with self-control.
DHP104-105	Victory over oneself is truly better than victory over all other people, for a person who is self-controlled and always lives with self-restraint. Neither a god, nor a gandhabbo, nor Māra together with Brahma, can turn into defeat the victory of such a person who has self-mastery.	Self truly conquered [is] better than this other offspring; for a person of self-tamed [one], always of [one] acting with self-control. Neither a god nor a heavenly musician, nor Māra with Brahma, could make into a defeat the victory of such a person.
DHP105	Neither a god, nor a gandhabbo, nor Māra together with Brahma, can turn into defeat the victory of such a person who has self-mastery.	Neither a god nor a heavenly musician, nor Māra with Brahma, could make into a defeat the victory of such a person.
DHP106	Month after month for a hundred years, one might perform sacrifices costing a thousand units each. But if one were to honor, even for a moment, a person who has developed themselves, that single act of honoring is far better than a hundred years of ritual sacrifice.	Month after month with a thousand, whoever would sacrifice for a hundred years; but if one would honor for even a moment one who has developed their self; just that honoring is better than a hundred years of offering.
DHP107	Though a person should tend the sacrificial fire in the forest for a hundred years, if they were to honour even for a moment one who has developed themselves, that honouring is indeed better than a hundred years of sacrifice.	Whoever and for a hundred years, a person, fire should worship in forest, and one self-developed person even for a moment should honour; that very honouring is better than if a hundred years of sacrifice.
DHP108	Whatever offering or sacrifice one might make in the world for a whole year, seeking merit, all of that is not worth even a quarter of the merit gained by paying respect to the upright ones, which is far better.	Whatever offering or sacrifice in the world for a year one might sacrifice seeking merit, all even that not a fourth part goes; paying respect among the upright is better.
DHP109	For one who is habitually respectful, who always honors the seniors, four qualities increase: long life, beauty, happiness, and strength.	For one of the nature of bowing down, always honoring the elderly, four things increase: life, complexion, happiness, strength.
DHP110	And though one should live a hundred years, unethical and unconcentrated, yet better is a single day's life of one who is virtuous and meditative.	And whoever should live for a hundred years, unprincipled, uncomposed, life for one day [is] better for the virtuous meditator.
DHP111	And whoever should live for a hundred years, foolish and unconcentrated, better is the life of a single day for one who is wise and meditative.	And who should live for a hundred years, foolish, uncomposed; better is the life for one day of the wise, of the meditator.
DHP112	"And who for a hundred years might live,
Lazy and of low energy,
Better is the life of a single day,
For one who arouses effort firmly."	And whoever for a hundred years should live, lazy, lacking in energy, for one day life is better of one firmly arousing energy.
DHP113	And whoever should live for a hundred years not seeing the rising and falling of things, better is the life of a single day for one who sees their rising and falling.	And whoever for a hundred years should live not seeing rising and falling, better is life for a single day of one seeing rising and falling.
DHP114	And whoever should live a hundred years, not seeing the deathless state; yet better is the life of a single day for one who sees the deathless state.	And whoever should live for a hundred years not seeing the deathless state, better is the living for a single day of one seeing the deathless state.
DHP115	Though one should live a hundred years not seeing the supreme Dhamma, yet better is the life of a single day for one who sees the supreme Dhamma.	Whoever and a hundred years should live not seeing the supreme Dhamma, life for one day is better for one seeing the supreme Dhamma.
DHP116	One should hasten to do good and restrain the mind from evil; for the mind of one who is slow in doing merit delights in evil.	One should hasten in goodness, one should restrain the mind from evil; for of one doing merit slowly, the mind delights in evil.
DHP117	If a man should do evil, let him not do it again and again. Let him not find pleasure in it, for the accumulation of evil is painful.	If a man should do evil action, he should not do it again and again; he should not make desire in that; painful is the accumulation of evil action.
DHP118	If a person should do merit, they should do it again and again. They should find delight in it; happy is the accumulation of merit.	If a man should do merit, he should do that again and again, in that he should make desire; happy is the accumulation of merit.
DHP119	Even an evildoer encounters good fortune as long as their evil deed does not ripen. But when the evil deed ripens, then the evildoer experiences the evil consequences.	Even an evildoer sees good so long as the evil matures not; but when the evil matures, then the evildoer sees evils.
DHP120	Even a good person encounters evil as long as the good deed does not ripen; but when the good deed ripens, then the good person encounters good things.	Even a good person sees evil as long as the good (deed) does not ripen, but when the good (deed) ripens, then the good person sees good (things).
DHP121	Do not think lightly of evil, saying, 'It will not come to me.' Even a water jar is filled by the falling of water drops. Likewise, the fool, gathering it little by little, is filled with evil.	May one not think lightly of evil: 'To me that will not come.' By the falling of a water drop, even a water jar is filled. The fool is filled with evil, accumulating it even a little by little.
DHP122	One should not think lightly of merit, saying, 'It will not come to me.' Even a water jar is filled by the falling of drops of water. A wise man is filled with merit, accumulating it little by little.	May one not disregard merit, [thinking] 'that will not come to me.' By the falling of water-drops even a water jar is filled; the wise man is filled with merit, even a little by a little gathering.
DHP123	Just as a wealthy merchant with only a small caravan avoids a dangerous road, and just as one who loves life avoids poison, so should one avoid evil deeds.	Like a merchant a dangerous road, having a small caravan, having great wealth, like one wishing to live poison, evils one should avoid.
DHP124	If there is no wound on the hand, one could carry poison in the hand. Poison does not affect the woundless; there is no evil for one who does no evil.	If in the hand there would not be a wound, one would carry poison with the hand; poison does not follow the woundless one; there is no evil for one not doing [evil].
DHP125	Whoever offends an innocent person, a man who is pure and unblemished, the evil recoils upon that very fool, like fine dust thrown against the wind.	Whoever offends an innocent man, a pure person, an unblemished one, that evil returns to that very fool, like fine dust thrown against the wind.
DHP126	Some are reborn in a womb, evil-doers in hell, the righteous go to heaven, and the taintless attain final emancipation.	Some are born in a womb; the evil-doers [go to] hell; the fortunate ones go to heaven; the taintless ones attain parinibbāna.
DHP127	Neither in the sky nor in the middle of the sea, nor by entering a mountain cleft, is there found any place on earth where, staying there, one might be freed from the consequences of an evil deed.	Not in the sky, not in the middle of the sea, not having entered a mountain crevice; that place on earth does not exist, where standing, one might be released from an evil action.
DHP128	Neither in the sky nor in the middle of the sea, nor by entering a mountain cleft—there exists no place on earth where one might stand and death would not overcome them.	Not in the sky, not in the middle of the sea, not having entered a mountain cleft; that place on earth is not found, where standing, death would not overcome [one].
