suttacode	pts	english_title	pali_title	nikayacode	collection_name	chaptercode	chapter_name	vagga	samyutta	section	main_theme	subtopic	summary	key_excerpt1	key_excerpt2	similes	stage	training	aspect	teacher	audience	method	length	prominence	formulas	nikayas_parallels	āgamas_parallels	taisho_parallels	sanskrit_parallels	vinaya_parallels	others_parallels	partial_parallels_nā	partial_parallels_all	suggested_suttas	suttacentral	dhamma.gift	thebuddhaswords	dhammapearls	bw_legacy								
AN1.13	A i 3	Giving Up The Hindrances	Nīvaraṇappahāna	AN	Aṅguttara Nikāya	AN1	Giving Up the Hindrances	Nīvaraṇappahānvagga		AN1.11-20	Effort right	Hindrances	I do not see a single thing that prevents specific hindrance from arising, or, when it has arisen, abandons it	Ugliness vs ensual desire, love vs ill will, being energetic vs dullness and drowsiness, peace of mind vs restlessness and remorse, proper attention vs doubts	When you don't attend to antidotes, hindrances  arise, and once arisen they increase and grow		Intro	Samādhi	Practical	Buddha	Bhikkhus	Lecture	Brief				EA9.9					EA9.9	EA9.9; SF203:TRI16.101-#TRI16.105		https://suttacentral.net/an1.13/en/sujato	https://dhamma.gift/read/?q=an1.13	https://thebuddhaswords.net/an/an1.13.html		https://find.dhamma.gift/bw/an/an1.13.html#content								
AN1.130		Negligence 2nd	Dutiyapamādādi	AN	Aṅguttara Nikāya	AN1	Negligence (2nd)	Dutiyapamādādivagga		AN1.121-130	Doctrines	Dhamma decay	Who make much bad karma and make the true teaching disappear	When a mendicant explains what is not the teaching as the teaching, and vice versa; what is not the training as the training, and vice versa; what was not spoken, practiced and prescribed by the realized one as spoken, practiced and prescribed  by the realized one and vice versa	Those are acting for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans		Beginning	Sīla	Doctrinal	Buddha	Bhikkhus	Lecture	Brief												https://suttacentral.net/an1.130/en/sujato	https://dhamma.gift/read/?q=an1.130	https://thebuddhaswords.net/an/an1.130.html		https://find.dhamma.gift/bw/an/an1.130.html#content								
AN1.131-139		Negligence 2nd	Dutiyapamādādi	AN	Aṅguttara Nikāya	AN1	Negligence (2nd)	Dutiyapamādādivagga		AN1.131-140	Doctrines	Dhamma decay	Who make much bad karma and make the true teaching disappear	When a mendicant explains what is not the teaching as the teaching, and vice versa; what is not the training as the training, and vice versa; what was not spoken, practiced and prescribed by the realized one as spoken, practiced and prescribed  by the realized one and vice versa	Those are acting for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans		Beginning	Sīla	Doctrinal	Buddha	Bhikkhus	Lecture	Brief												https://suttacentral.net/an1.131-139/en/sujato	https://dhamma.gift/read/?q=an1.131-139	https://thebuddhaswords.net/an/an1.131-139.html		https://find.dhamma.gift/bw/an/an1.131-139.html#content								
AN1.14	A i 3	Giving Up The Hindrances	Nīvaraṇappahāna	AN	Aṅguttara Nikāya	AN1	Giving Up the Hindrances	Nīvaraṇappahānvagga		AN1.11-20	Effort right	Hindrances	I do not see a single thing that prevents specific hindrance from arising, or, when it has arisen, abandons it	Ugliness vs ensual desire, love vs ill will, being energetic vs dullness and drowsiness, peace of mind vs restlessness and remorse, proper attention vs doubts	When you don't attend to antidotes, hindrances  arise, and once arisen they increase and grow		Intro	Samādhi	Practical	Buddha	Bhikkhus	Lecture	Brief				EA9.9					EA9.9	EA9.9; SF203:TRI16.101-#TRI16.105		https://suttacentral.net/an1.14/en/sujato	https://dhamma.gift/read/?q=an1.14	https://thebuddhaswords.net/an/an1.14.html		https://find.dhamma.gift/bw/an/an1.14.html#content								
AN1.140	A i 19	Not The Teachings	Adhamma	AN	Aṅguttara Nikāya	AN1	Not the Teaching	Adhammvagga		AN1.131-140	Doctrines	Dhamma persistence	Who make much merit and make the true teaching continue	When a mendicant explains what is the teaching as the teaching, and vice versa; what is the training as the training, and vice versa; what was spoken, practiced and prescribed by the realized one as spoken, practiced and prescribed  by the realized one and vice versa	Those are acting for the welfare and happiness of the people, for the benefit, welfare, and happiness of gods and humans		Beginning	Sīla	Doctrinal	Buddha	Bhikkhus	Lecture	Brief												https://suttacentral.net/an1.140/en/sujato	https://dhamma.gift/read/?q=an1.140	https://thebuddhaswords.net/an/an1.140.html		https://find.dhamma.gift/bw/an/an1.140.html#content								
AN1.15	A i 4	Giving Up The Hindrances	Nīvaraṇappahāna	AN	Aṅguttara Nikāya	AN1	Giving Up the Hindrances	Nīvaraṇappahānvagga		AN1.11-20	Effort right	Hindrances	I do not see a single thing that prevents specific hindrance from arising, or, when it has arisen, abandons it	Ugliness vs ensual desire, love vs ill will, being energetic vs dullness and drowsiness, peace of mind vs restlessness and remorse, proper attention vs doubts	When you don't attend to antidotes, hindrances  arise, and once arisen they increase and grow		Intro	Samādhi	Practical	Buddha	Bhikkhus	Lecture	Brief				EA9.9					EA9.9	EA9.9; SF203:TRI16.101-#TRI16.105		https://suttacentral.net/an1.15/en/sujato	https://dhamma.gift/read/?q=an1.15	https://thebuddhaswords.net/an/an1.15.html		https://find.dhamma.gift/bw/an/an1.15.html#content								
AN1.150	A i 20	Non-Offense	Anāpatti	AN	Aṅguttara Nikāya	AN1	Non offenses	Anāpattivagga		AN1.141-150	Discipline	Offenses	Dangers of misperceptions of offenses	Mendicant explains what is not an offense as an offense and vice versa; a light offense as a serious offens and vice versa; an offense committed with corrupt intention as an offense not and vice versa;  an offense requiring rehabilitation as not and vice versa; an offense with redress as not and vice versa	Are acting for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans.Those Mendicants make much bad karma and make the true teaching disappear		Beginning	Sīla	Vinaya	Buddha	Bhikkhus	Lecture	Brief												https://suttacentral.net/an1.150/en/sujato	https://dhamma.gift/read/?q=an1.150	https://thebuddhaswords.net/an/an1.150.html		https://find.dhamma.gift/bw/an/an1.150.html#content								
AN1.151		Non-Offense	Anāpatti	AN	Aṅguttara Nikāya	AN1	Non offenses	Anāpattivagga		AN1.151-160	Discipline	Offenses	Dangers of misperceptions of offenses	Mendicant explains what is not an offense as an offense and vice versa; a light offense as a serious offens and vice versa; an offense committed with corrupt intention as an offense not and vice versa;  an offense requiring rehabilitation as not and vice versa; an offense with redress as not and vice versa	Are acting for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans.Those Mendicants make much bad karma and make the true teaching disappear		Beginning	Sīla	Vinaya	Buddha	Bhikkhus	Lecture	Brief												https://suttacentral.net/an1.151/en/sujato	https://dhamma.gift/read/?q=an1.151	https://thebuddhaswords.net/an/an1.151.html		https://find.dhamma.gift/bw/an/an1.151.html#content								
AN1.16	A i 4	Giving Up The Hindrances	Nīvaraṇappahāna	AN	Aṅguttara Nikāya	AN1	Giving Up the Hindrances	Nīvaraṇappahānvagga		AN1.11-20	Effort right	Hindrances	I do not see a single thing that prevents specific hindrance from arising, or, when it has arisen, abandons it	Ugliness vs ensual desire, love vs ill will, being energetic vs dullness and drowsiness, peace of mind vs restlessness and remorse, proper attention vs doubts	When you don't attend to antidotes, hindrances  arise, and once arisen they increase and grow		Intro	Samādhi	Practical	Buddha	Bhikkhus	Lecture	Brief				EA9.10					EA9.10	EA9.10; SF203:TRI16.106-#TRI16.111		https://suttacentral.net/an1.16/en/sujato	https://dhamma.gift/read/?q=an1.16	https://thebuddhaswords.net/an/an1.16.html		https://find.dhamma.gift/bw/an/an1.16.html#content								
AN1.16	A i 4	Giving Up The Hindrances	Nīvaraṇappahāna	AN	Aṅguttara Nikāya	AN1	Giving Up the Hindrances	Nīvaraṇappahānvagga		AN1.11-20	Effort right	Hindrances	I do not see a single thing that prevents specific hindrance from arising, or, when it has arisen, abandons it	Ugliness vs ensual desire, love vs ill will, being energetic vs dullness and drowsiness, peace of mind vs restlessness and remorse, proper attention vs doubts	When you don't attend to antidotes, hindrances  arise, and once arisen they increase and grow		Intro	Samādhi	Practical	Buddha	Bhikkhus	Lecture	Brief				EA9.10					EA9.10	EA9.10; SF203:TRI16.106-#TRI16.111		https://suttacentral.net/an1.16/en/sujato	https://dhamma.gift/read/?q=an1.16	https://thebuddhaswords.net/an/an1.16.html		https://find.dhamma.gift/bw/an/an1.16.html#content								
AN1.160		Non-Offense	Anāpatti	AN	Aṅguttara Nikāya	AN1	Non offenses	Anāpattivagga		AN1.151-160	Discipline	Offenses	Dangers of misperceptions of offenses	Mendicant explains what is not an offense as an offense and vice versa; a light offense as a serious offens and vice versa; an offense committed with corrupt intention as an offense not and vice versa;  an offense requiring rehabilitation as not and vice versa; an offense with redress as not and vice versa	Are acting for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans.Those Mendicants make much bad karma and make the true teaching disappear		Beginning	Sīla	Vinaya	Buddha	Bhikkhus	Lecture	Brief												https://suttacentral.net/an1.160/en/sujato	https://dhamma.gift/read/?q=an1.160	https://thebuddhaswords.net/an/an1.160.html		https://find.dhamma.gift/bw/an/an1.160.html#content								
AN1.161		Non-Offense	Anāpatti	AN	Aṅguttara Nikāya	AN1	Non offenses	Anāpattivagga		AN1.161-170	Discipline	Offenses	Dangers of misperceptions of offenses	Mendicant explains what is not an offense as an offense and vice versa; a light offense as a serious offens and vice versa; an offense committed with corrupt intention as an offense not and vice versa;  an offense requiring rehabilitation as not and vice versa; an offense with redress as not and vice versa	Are acting for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans.Those Mendicants make much bad karma and make the true teaching disappear		Beginning	Sīla	Vinaya	Buddha	Bhikkhus	Lecture	Brief												https://suttacentral.net/an1.161/en/sujato	https://dhamma.gift/read/?q=an1.161	https://thebuddhaswords.net/an/an1.161.html		https://find.dhamma.gift/bw/an/an1.161.html#content								
AN1.17	A i 4	Giving Up The Hindrances	Nīvaraṇappahāna	AN	Aṅguttara Nikāya	AN1	Giving Up the Hindrances	Nīvaraṇappahānvagga		AN1.11-20	Effort right	Hindrances	I do not see a single thing that prevents specific hindrance from arising, or, when it has arisen, abandons it	Ugliness vs ensual desire, love vs ill will, being energetic vs dullness and drowsiness, peace of mind vs restlessness and remorse, proper attention vs doubts	When you don't attend to antidotes, hindrances  arise, and once arisen they increase and grow		Intro	Samādhi	Practical	Buddha	Bhikkhus	Lecture	Brief				EA9.10					EA9.10	EA9.10; SF203:TRI16.106-#TRI16.111		https://suttacentral.net/an1.17/en/sujato	https://dhamma.gift/read/?q=an1.17	https://thebuddhaswords.net/an/an1.17.html		https://find.dhamma.gift/bw/an/an1.17.html#content								
AN1.170	A i 22	One Person	Ekapuggala	AN	Aṅguttara Nikāya	AN1	One person	Ekapuggalvagga		AN1.161-170	Buddha	Buddhas qualities	The realized one, the perfected one, the fully awakened Buddha . This Is the one person with all these qualities	Arises in the world for the welfare and happiness, whose appearance is rare, is an incredible human being, whose death is regretted by many people,  unique, without peer or counterpart, incomparable, matchless, unrivaled, unequaled, without equal, the best of bipeds	Whose appearance brings the appearance of a great eye, a great light, a great radiance, and the six unsurpassable things; the realization of the four kinds of textual analysis; the penetration of many and diverse elements; the realization of the fruit of knowledge and release; the realization of the fruits of stream-entry, once-return, non-return and Arahant ,		Beginning	Paññā	Inspiration	Buddha	Bhikkhus	Lecture	Brief				EA8.2					EA8.2	EA8.2; MIL6.1.2:13.1; MIL6.4.2:62.1		https://suttacentral.net/an1.170/en/sujato	https://dhamma.gift/read/?q=an1.170	https://thebuddhaswords.net/an/an1.170.html		https://find.dhamma.gift/bw/an/an1.170.html#content								
AN1.171-174		One Person	Ekapuggala	AN	Aṅguttara Nikāya	AN1	One person	Ekapuggalvagga		AN1.171-180	Buddha	Buddhas qualities	The realized one, the perfected one, the fully awakened Buddha . This Is the one person with all these qualities	Arises in the world for the welfare and happiness, whose appearance is rare, is an incredible human being, whose death is regretted by many people,  unique, without peer or counterpart, incomparable, matchless, unrivaled, unequaled, without equal, the best of bipeds	Whose appearance brings the appearance of a great eye, a great light, a great radiance, and the six unsurpassable things; the realization of the four kinds of textual analysis; the penetration of many and diverse elements; the realization of the fruit of knowledge and release; the realization of the fruits of stream-entry, once-return, non-return and Arahant ,		Beginning	Paññā	Inspiration	Buddha	Bhikkhus	Lecture	Brief												https://suttacentral.net/an1.171-174/en/sujato	https://dhamma.gift/read/?q=an1.171-174	https://thebuddhaswords.net/an/an1.171-174.html		https://find.dhamma.gift/bw/an/an1.171-174.html#content								
AN1.175-186		One Person	Ekapuggala	AN	Aṅguttara Nikāya	AN1	One person	Ekapuggalvagga		AN1.171-180	Buddha	Buddhas qualities	The realized one, the perfected one, the fully awakened Buddha . This Is the one person with all these qualities	Arises in the world for the welfare and happiness, whose appearance is rare, is an incredible human being, whose death is regretted by many people,  unique, without peer or counterpart, incomparable, matchless, unrivaled, unequaled, without equal, the best of bipeds	Whose appearance brings the appearance of a great eye, a great light, a great radiance, and the six unsurpassable things; the realization of the four kinds of textual analysis; the penetration of many and diverse elements; the realization of the fruit of knowledge and release; the realization of the fruits of stream-entry, once-return, non-return and Arahant ,		Beginning	Paññā	Inspiration	Buddha	Bhikkhus	Lecture	Brief												https://suttacentral.net/an1.175-186/en/sujato	https://dhamma.gift/read/?q=an1.175-186	https://thebuddhaswords.net/an/an1.175-186.html		https://find.dhamma.gift/bw/an/an1.175-186.html#content								
AN1.18	A i 4	Giving Up The Hindrances	Nīvaraṇappahāna	AN	Aṅguttara Nikāya	AN1	Giving Up the Hindrances	Nīvaraṇappahānvagga		AN1.11-20	Effort right	Hindrances	I do not see a single thing that prevents specific hindrance from arising, or, when it has arisen, abandons it	Ugliness vs ensual desire, love vs ill will, being energetic vs dullness and drowsiness, peace of mind vs restlessness and remorse, proper attention vs doubts	When you don't attend to antidotes, hindrances  arise, and once arisen they increase and grow		Intro	Samādhi	Practical	Buddha	Bhikkhus	Lecture	Brief				EA9.10					EA9.10	EA9.10; SF203:TRI16.106-#TRI16.111		https://suttacentral.net/an1.18/en/sujato	https://dhamma.gift/read/?q=an1.18	https://thebuddhaswords.net/an/an1.18.html		https://find.dhamma.gift/bw/an/an1.18.html#content								
AN1.187	A i 23	One Person	Ekapuggala	AN	Aṅguttara Nikāya	AN1	One person	Ekapuggalvagga		AN1.181-190	Buddha	Buddhas qualities	The realized one, the perfected one, the fully awakened Buddha . This Is the one person with all these qualities	Arises in the world for the welfare and happiness, whose appearance is rare, is an incredible human being, whose death is regretted by many people,  unique, without peer or counterpart, incomparable, matchless, unrivaled, unequaled, without equal, the best of bipeds	Whose appearance brings the appearance of a great eye, a great light, a great radiance, and the six unsurpassable things; the realization of the four kinds of textual analysis; the penetration of many and diverse elements; the realization of the fruit of knowledge and release; the realization of the fruits of stream-entry, once-return, non-return and Arahant ,		Beginning	Paññā	Inspiration	Buddha	Bhikkhus	Lecture	Brief												https://suttacentral.net/an1.187/en/sujato	https://dhamma.gift/read/?q=an1.187	https://thebuddhaswords.net/an/an1.187.html		https://find.dhamma.gift/bw/an/an1.187.html#content								
AN1.188-197		Foremost	Etadagga	AN	Aṅguttara Nikāya	AN1	Foremost	Etadvagga		AN1.181-190	Encourage	Foremost disciples	The foremost of my monk disciples in certain qualities  1.188 - 234	The foremost of my nun disciples  in certain qualities  1.235 - 247	The foremost of my lay disciples  in certain qualities  1.248 - 267		Beginning	Paññā	Inspiration	Buddha	Bhikkhus	Lecture	Brief												https://suttacentral.net/an1.188-197/en/sujato	https://dhamma.gift/read/?q=an1.188-197	https://thebuddhaswords.net/an/an1.188-197.html		https://find.dhamma.gift/bw/an/an1.188-197.html#content								
AN1.19	A i 4	Giving Up The Hindrances	Nīvaraṇappahāna	AN	Aṅguttara Nikāya	AN1	Giving Up the Hindrances	Nīvaraṇappahānvagga		AN1.11-20	Effort right	Hindrances	I do not see a single thing that prevents specific hindrance from arising, or, when it has arisen, abandons it	Ugliness vs ensual desire, love vs ill will, being energetic vs dullness and drowsiness, peace of mind vs restlessness and remorse, proper attention vs doubts	When you don't attend to antidotes, hindrances  arise, and once arisen they increase and grow		Intro	Samādhi	Practical	Buddha	Bhikkhus	Lecture	Brief				EA9.10					EA9.10	EA9.10; SF203:TRI16.106-#TRI16.111		https://suttacentral.net/an1.19/en/sujato	https://dhamma.gift/read/?q=an1.19	https://thebuddhaswords.net/an/an1.19.html		https://find.dhamma.gift/bw/an/an1.19.html#content								
AN1.198-208		Foremost	Etadagga	AN	Aṅguttara Nikāya	AN1	Foremost	Etadvagga		AN1.191-200	Encourage	Foremost disciples	The foremost of my monk disciples in certain qualities  1.188 - 234	The foremost of my nun disciples  in certain qualities  1.235 - 247	The foremost of my lay disciples  in certain qualities  1.248 - 267		Beginning	Paññā	Inspiration	Buddha	Bhikkhus	Lecture	Brief												https://suttacentral.net/an1.198-208/en/sujato	https://dhamma.gift/read/?q=an1.198-208	https://thebuddhaswords.net/an/an1.198-208.html		https://find.dhamma.gift/bw/an/an1.198-208.html#content								
AN1.2	A i 1	Sights	Rupa	AN	Aṅguttara Nikāya	AN1	Sights, Etc.	Cittapariyādānvagga		AN1.1-10	Tendencies	Sexuality	Most attractive things	Opposite sex	6 sensual objects from opposite sex		Intro	Paññā	Doctrinal	Buddha	Bhikkhus	Lecture	Brief				EA9.7	T792				EA9.7	EA9.7; T792		https://suttacentral.net/an1.2/en/sujato	https://dhamma.gift/read/?q=an1.2	https://thebuddhaswords.net/an/an1.2.html		https://find.dhamma.gift/bw/an/an1.2.html#content								
AN1.20	A i 4	Giving Up The Hindrances	Nīvaraṇappahāna	AN	Aṅguttara Nikāya	AN1	Giving Up the Hindrances	Nīvaraṇappahānvagga		AN1.11-20	Effort right	Hindrances	I do not see a single thing that prevents specific hindrance from arising, or, when it has arisen, abandons it	Ugliness vs ensual desire, love vs ill will, being energetic vs dullness and drowsiness, peace of mind vs restlessness and remorse, proper attention vs doubts	When you don't attend to antidotes, hindrances  arise, and once arisen they increase and grow		Intro	Samādhi	Practical	Buddha	Bhikkhus	Lecture	Brief				EA9.10					EA9.10	EA9.10; SF203:TRI16.106-#TRI16.111		https://suttacentral.net/an1.20/en/sujato	https://dhamma.gift/read/?q=an1.20	https://thebuddhaswords.net/an/an1.20.html		https://find.dhamma.gift/bw/an/an1.20.html#content								
AN1.209-218		Foremost	Etadagga	AN	Aṅguttara Nikāya	AN1	Foremost	Etadvagga		AN1.201-210	Encourage	Foremost disciples	The foremost of my monk disciples in certain qualities  1.188 - 234	The foremost of my nun disciples  in certain qualities  1.235 - 247	The foremost of my lay disciples  in certain qualities  1.248 - 267		Beginning	Paññā	Inspiration	Buddha	Bhikkhus	Lecture	Brief												https://suttacentral.net/an1.209-218/en/sujato	https://dhamma.gift/read/?q=an1.209-218	https://thebuddhaswords.net/an/an1.209-218.html		https://find.dhamma.gift/bw/an/an1.209-218.html#content								
AN1.21	A i 5	Useless	Akammaniya	AN	Aṅguttara Nikāya	AN1	Useless	Akammaniyvagga		AN1.21-30	Mind traits	Mind qualities	The Buddha  enumerates twenty things of singular importance to the spiritual path.	Developed  and cultivated mind, with its potential realized, is workable, very beneficial, and brings happiness	An undeveloped mind, with untapped potential, is very harmful, useless and bring much suffering		Beginning	Samādhi	Doctrinal	Buddha	Bhikkhus	Lecture	Brief										SF177:TRI2.1		https://suttacentral.net/an1.21/en/sujato	https://dhamma.gift/read/?q=an1.21	https://thebuddhaswords.net/an/an1.21.html		https://find.dhamma.gift/bw/an/an1.21.html#content								
AN1.21	A i 5	Useless	Akammaniya	AN	Aṅguttara Nikāya	AN1	Useless	Akammaniyvagga		AN1.21-30	Mind traits	Mind qualities	The Buddha  enumerates twenty things of singular importance to the spiritual path.	Developed  and cultivated mind, with its potential realized, is workable, very beneficial, and brings happiness	An undeveloped mind, with untapped potential, is very harmful, useless and bring much suffering		Beginning	Samādhi	Doctrinal	Buddha	Bhikkhus	Lecture	Brief										SF177:TRI2.1		https://suttacentral.net/an1.21/en/sujato	https://dhamma.gift/read/?q=an1.21	https://thebuddhaswords.net/an/an1.21.html		https://find.dhamma.gift/bw/an/an1.21.html#content								
