id,pali,selected_pali_word,class_source,extra,class_example,english_translation
14599,utu 3,utu,THI71,,"madhurañ'ca pavanti sabbaso, kusumarajena samuṭṭhitā dumā, paṭhamavasanto sukho <b>utu</b>, ehi ramāma supupphite vane.","The trees laden with pollen exude a sweet smell all around by means of flower pollen; the first month of the season, spring, [is] pleasant; come! Let us take delight in the wood abounding in blossoms."
15005,udāna 1,udānaṃ,MN22,,"idha, bhikkhave, ekacce moghapurisā dhammaṃ pariyāpuṇanti, suttaṃ, geyyaṃ, veyyākaraṇaṃ, gāthaṃ, <b>udānaṃ</b>, itivuttakaṃ, jātakaṃ, abbhutadhammaṃ, vedallaṃ.","Here, monks, some foolish persons study well the teaching – discourses, mixed verses, detailed expositions, poems, inspired sayings, quotations, birth stories, marvellous accounts, questions-and-answers…"
15965,uparata,n'ūparato,SNP51,,"sa sabbadhammesu visenibhūto, yaṃ kiñci diṭṭhaṃ va sutaṃ mutaṃ vā, sa pannabhāro muni vippamutto, na kappiyo <b>n'ūparato</b> na patthiyo'ti.","“He, not opposing all things he has become, anything whatever that has been seen or heard or perceived, the sage who has laid down the load is freed, not stopped, not desiring.”"
18009,esanā 1,esanā,MN12,,"sotatto sosinno c'eva, eko bhiṃsanake vane, naggo na c'aggim'āsīno, <b>esanā</b>pasuto munī'ti.","“Scorched, freezing, alone in a frightening grove, naked and not seated [next to] a fire, the sage is devoted to the quest.”"
18016,esanāpasuta,esanāpasuto,MN12,,"sotatto sosinno c'eva, eko bhiṃsanake vane, naggo na c'aggim'āsīno, <b>esanāpasuto</b> munī'ti.","“Scorched, freezing, alone in a frightening grove, naked and not seated [next to] a fire, the sage is devoted to the quest.”"
18581,odaka 1,odakaṃ,TH133,,"accayanti ahorattā, jīvitaṃ uparujjhati, āyu khīyati maccānaṃ, kunnadīnaṃ'va <b>odakaṃ</b>.","Days and nights fly past, life is finished. The life of mortal men is exhausted like the water of small streams."
19546,kaṇṇasota,kaṇṇasotāni,AN7.61,,"no ce te evaṃ viharato taṃ middhaṃ pahīyetha tato tvaṃ, moggallāna, ubho <b>kaṇṇasotāni</b> āviñjeyyāsi pāṇinā gattāni anumajjeyyāsi","If that drowsiness could not be abandoned when you're dwelling in such a way, then you, Moggallāna, should pull both ear holes [and] you should rub [your] limbs with your hands."
19617,kataññutā,kataññutā,KHP5,,"gāravo ca nivāto ca, santuṭṭhi ca <b>kataññutā</b>, kālena dhammassavanaṃ, etaṃ maṅgalam'uttamaṃ.","Reverence and humility, satisfaction and gratitude, Hearing the teaching at the right time; this is the highest blessing."
20007,kapaṇa 2,kapaṇ'addhika,SN2.23,,"tassa mayhaṃ, bhante, catūsu dvāresu dānaṃ dīyittha samaṇa-brāhmaṇa-<b>kapaṇ'addhika</b>-vanibbaka-yācakānaṃ.","Thus, my gifts were offered at the four gates to ascetics, brahmins, tramps and travellers, mendicants and beggars."
20008,kapaṇaddhika,kapaṇ'addhika,SN2.23,,"tassa mayhaṃ, bhante, catūsu dvāresu dānaṃ dīyittha samaṇa-brāhmaṇa-<b>kapaṇ'addhika</b>-vanibbaka-yācakānaṃ.","Thus, my gifts were offered at the four gates to ascetics, brahmins, tramps and travellers, mendicants and beggars."
20136,kappiya 2.1,kappiyo,SNP51,,"sa sabbadhammesu visenibhūto, yaṃ kiñci diṭṭhaṃ va sutaṃ mutaṃ vā, sa pannabhāro muni vippamutto, na <b>kappiyo</b> n'ūparato na patthiyo'ti.","“He, not opposing all things he has become, anything whatever that has been seen or heard or perceived, the sage who has laid down the load is freed, not stopped, not desiring.”"
21639,kicchena,kicchena,SN1.49,,"sace enti manussattaṃ, dalidde jāyare kule, coḷaṃ piṇḍo ratī khiḍḍā, yattha <b>kicchena</b> labbhati.","If they (i.e. stingy people) come [back] to a human state, they are born in a poor family, where clothing, a bit of food, pleasure, [and] entertainment are obtained with difficulty."
21657,kiñci 1,kiñci,SNP51,,"sa sabbadhammesu visenibhūto, yaṃ <b>kiñci</b> diṭṭhaṃ va sutaṃ mutaṃ vā, sa pannabhāro muni vippamutto, na kappiyo n'ūparato na patthiyo'ti.","“He, not opposing all things he has become, anything whatever that has been seen or heard or perceived, the sage who has laid down the load is freed, not stopped, not desiring.”"
22350,kunnadī,kunnadīnaṃ,TH133,,"accayanti ahorattā, jīvitaṃ uparujjhati, āyu khīyati maccānaṃ, <b>kunnadīnaṃ</b>'va odakaṃ.","Days and nights fly past, life is finished. The life of mortal men is exhausted like the water of small streams."
22699,kusuma,kusumarajena,THI71,,"madhurañ'ca pavanti sabbaso, <b>kusumarajena</b> samuṭṭhitā dumā, paṭhamavasanto sukho utu, ehi ramāma supupphite vane.","The trees laden with pollen exude a sweet smell all around by means of flower pollen; the first month of the season, spring, [is] pleasant; come! Let us take delight in the wood abounding in blossoms."
22701,kusumarajas,kusumarajena,THI71,,"madhurañ'ca pavanti sabbaso, <b>kusumarajena</b> samuṭṭhitā dumā, paṭhamavasanto sukho utu, ehi ramāma supupphite vane.","The trees laden with pollen exude a sweet smell all around by means of flower pollen; the first month of the season, spring, [is] pleasant; come! Let us take delight in the wood abounding in blossoms."
23669,khiḍḍā,khiḍḍā,SN1.49,,"sace enti manussattaṃ, dalidde jāyare kule, coḷaṃ piṇḍo ratī <b>khiḍḍā</b>, yattha kicchena labbhati.","If they (i.e. stingy people) come [back] to a human state, they are born in a poor family, where clothing, a bit of food, pleasure, [and] entertainment are obtained with difficulty."
23772,khīyati 1,khīyati,TH133,,"accayanti ahorattā, jīvitaṃ uparujjhati, āyu <b>khīyati</b> maccānaṃ, kunnadīnaṃ'va odakaṃ.","Days and nights fly past, life is finished. The life of mortal men is exhausted like the water of small streams."
24225,gatta 1,gattāni,AN7.61,,"no ce te evaṃ viharato taṃ middhaṃ pahīyetha tato tvaṃ, moggallāna, ubho kaṇṇasotāni āviñjeyyāsi pāṇinā <b>gattāni</b> anumajjeyyāsi","If that drowsiness could not be abandoned when you're dwelling in such a way, then you, Moggallāna, should pull both ear holes [and] you should rub [your] limbs with your hands."
24435,gamika 1,gamikassa,AN5.36,,"āgantukassa dānaṃ deti, <b>gamikassa</b> dānaṃ deti, gilānassa dānaṃ deti, dubbhikkhe dānaṃ deti.","One gives to a newcomer, one gives to a traveller, one gives to one who is ill, one gives when famine."
24614,gaha 1,,,,,
24727,gāthā 2,gāthaṃ,MN22,,"idha, bhikkhave, ekacce moghapurisā dhammaṃ pariyāpuṇanti, suttaṃ, geyyaṃ, veyyākaraṇaṃ, <b>gāthaṃ</b>, udānaṃ, itivuttakaṃ, jātakaṃ, abbhutadhammaṃ, vedallaṃ.","Here, monks, some foolish persons study well the teaching – discourses, mixed verses, detailed expositions, poems, inspired sayings, quotations, birth stories, marvellous accounts, questions-and-answers…"
24836,gārava 1,gāravo,KHP5,,"<b>gāravo</b> ca nivāto ca, santuṭṭhi ca kataññutā, kālena dhammassavanaṃ, etaṃ maṅgalam'uttamaṃ.","Reverence and humility, satisfaction and gratitude, Hearing the teaching at the right time; this is the highest blessing."
24951,gilāna 2,gilānassa,AN5.36,,"āgantukassa dānaṃ deti, gamikassa dānaṃ deti, <b>gilānassa</b> dānaṃ deti, dubbhikkhe dānaṃ deti.","One gives to a newcomer, one gives to a traveller, one gives to one who is ill, one gives when famine."
25207,geyya 1,geyyaṃ,MN22,,"idha, bhikkhave, ekacce moghapurisā dhammaṃ pariyāpuṇanti, suttaṃ, <b>geyyaṃ</b>, veyyākaraṇaṃ, gāthaṃ, udānaṃ, itivuttakaṃ, jātakaṃ, abbhutadhammaṃ, vedallaṃ.","Here, monks, some foolish persons study well the teaching – discourses, mixed verses, detailed expositions, poems, inspired sayings, quotations, birth stories, marvellous accounts, questions-and-answers…"
25781,caggimāsīno,c'aggim'āsīno,MN12,,"sotatto sosinno c'eva, eko bhiṃsanake vane, naggo na <b>c'aggim'āsīno</b>, esanāpasuto munī'ti.","“Scorched, freezing, alone in a frightening grove, naked and not seated [next to] a fire, the sage is devoted to the quest.”"
26106,catūsu,catūsu,SN2.23,,"tassa mayhaṃ, bhante, <b>catūsu</b> dvāresu dānaṃ dīyittha samaṇa-brāhmaṇa-kapaṇ'addhika-vanibbaka-yācakānaṃ.","Thus, my gifts were offered at the four gates to ascetics, brahmins, tramps and travellers, mendicants and beggars."
26468,cārikā,cārikaṃ,DHP326,,"idaṃ pure cittam'acāri <b>cārikaṃ</b>, yen'icchakaṃ yatthakāmaṃ yathāsukhaṃ, tadajj'ahaṃ niggahessāmi yoniso, hatthippabhinnaṃ viya aṅkusaggaho.","Formerly this mind wandered around on a walking tour wherever it liked, according to its pleasure, because of wanting, but now I will restrain [it] thoroughly like an elephant driver holding a hooked pole to an elephant in rut (i.e. with juices flowing)."
27254,coḷa 2,coḷaṃ,SN1.49,,"sace enti manussattaṃ, dalidde jāyare kule, <b>coḷaṃ</b> piṇḍo ratī khiḍḍā, yattha kicchena labbhati.","If they (i.e. stingy people) come [back] to a human state, they are born in a poor family, where clothing, a bit of food, pleasure, [and] entertainment are obtained with difficulty."
28186,jātaka 1,jātakaṃ,MN22,,"idha, bhikkhave, ekacce moghapurisā dhammaṃ pariyāpuṇanti, suttaṃ, geyyaṃ, veyyākaraṇaṃ, gāthaṃ, udānaṃ, itivuttakaṃ, <b>jātakaṃ</b>, abbhutadhammaṃ, vedallaṃ.","Here, monks, some foolish persons study well the teaching – discourses, mixed verses, detailed expositions, poems, inspired sayings, quotations, birth stories, marvellous accounts, questions-and-answers…"
28352,jāyati 1,,,,,
29564,tato 5,,,,,
29715,tathāsamāhita,tathāsamāhitaṃ,SN46.3,,samādhisambojjh'aṅgo tasmiṃ samaye bhikkhuno bhāvanāpāripūriṃ gacchati. so <b>tathāsamāhitaṃ</b> cittaṃ sādhukaṃ ajjhupekkhitā hoti.,"On that occasion, concentration as a factor of enlightenment comes to full development for a monk by meditation;[he is] one who looks well with equanimity on the thus composed mind."
29743,tadajjahaṃ,tadajj'ahaṃ,DHP326,,"idaṃ pure cittam'acāri cārikaṃ, yen'icchakaṃ yatthakāmaṃ yathāsukhaṃ, <b>tadajj'ahaṃ</b> niggahessāmi yoniso, hatthippabhinnaṃ viya aṅkusaggaho.","Formerly this mind wandered around on a walking tour wherever it liked, according to its pleasure, because of wanting, but now I will restrain [it] thoroughly like an elephant driver holding a hooked pole to an elephant in rut (i.e. with juices flowing)."
31244,tepi,te'pi,AN5.36,,"ye tattha anumodanti, veyyāvaccaṃ karonti vā, na tena dakkhiṇā ūnā, <b>te'pi</b> puññassa bhāgino.","[Given with a clear mind, one's offering is vast]; they who are pleased in that regard or do service, by means of that are not lacking the offering; they, too, partake in the merit."
31997,dalidda,dalidde,SN1.49,,"sace enti manussattaṃ, <b>dalidde</b> jāyare kule, coḷaṃ piṇḍo ratī khiḍḍā, yattha kicchena labbhati.","If they (i.e. stingy people) come [back] to a human state, they are born in a poor family, where clothing, a bit of food, pleasure, [and] entertainment are obtained with difficulty."
32002,dasa 2.1,,,,,
32834,dīyi,dīyittha,SN2.23,,"tassa mayhaṃ, bhante, catūsu dvāresu dānaṃ <b>dīyittha</b> samaṇa-brāhmaṇa-kapaṇ'addhika-vanibbaka-yācakānaṃ.","Thus, my gifts were offered at the four gates to ascetics, brahmins, tramps and travellers, mendicants and beggars."
33722,dubbhikkha 1,dubbhikkhe,AN5.36,,"āgantukassa dānaṃ deti, gamikassa dānaṃ deti, gilānassa dānaṃ deti, <b>dubbhikkhe</b> dānaṃ deti.","One gives to a newcomer, one gives to a traveller, one gives to one who is ill, one gives when famine."
33732,duma 1,dumā,THI71,,"madhurañ'ca pavanti sabbaso, kusumarajena samuṭṭhitā <b>dumā</b>, paṭhamavasanto sukho utu, ehi ramāma supupphite vane.","The trees laden with pollen exude a sweet smell all around by means of flower pollen; the first month of the season, spring, [is] pleasant; come! Let us take delight in the wood abounding in blossoms."
33947,dūhara,dūharan'ti,SN1.51,,"sīlaṃ yāva jarā sādhu, saddhā sādhu patiṭṭhitā, paññā narānaṃ ratanaṃ, puññaṃ corehi <b>dūharan'ti</b>.",“Virtue up to old age [is] good; faith [that is] established [is] good; wisdom [is] the jewel of humans; merit [is] hard for thieves to steal.”
34898,dhammassavana,dhammassavanaṃ,KHP5,,"gāravo ca nivāto ca, santuṭṭhi ca kataññutā, kālena <b>dhammassavanaṃ</b>, etaṃ maṅgalam'uttamaṃ.","Reverence and humility, satisfaction and gratitude, Hearing the teaching at the right time; this is the highest blessing."
35435,nagga,naggo,MN12,,"sotatto sosinno c'eva, eko bhiṃsanake vane, <b>naggo</b> na c'aggim'āsīno, esanāpasuto munī'ti.","“Scorched, freezing, alone in a frightening grove, naked and not seated [next to] a fire, the sage is devoted to the quest.”"
35569,nadī,kunnadīnaṃ,TH133,,"accayanti ahorattā, jīvitaṃ uparujjhati, āyu khīyati maccānaṃ, kun<b>nadīnaṃ</b>'va odakaṃ.","Days and nights fly past, life is finished. The life of mortal men is exhausted like the water of small streams."
36923,niggaheti 1,niggahessāmi,DHP326,,"idaṃ pure cittam'acāri cārikaṃ, yen'icchakaṃ yatthakāmaṃ yathāsukhaṃ, tadajj'ahaṃ <b>niggahessāmi</b> yoniso, hatthippabhinnaṃ viya aṅkusaggaho.","Formerly this mind wandered around on a walking tour wherever it liked, according to its pleasure, because of wanting, but now I will restrain [it] thoroughly like an elephant driver holding a hooked pole to an elephant in rut (i.e. with juices flowing)."
36928,niggahessati,niggahessāmi,DHP326,,"idaṃ pure cittam'acāri cārikaṃ, yen'icchakaṃ yatthakāmaṃ yathāsukhaṃ, tadajj'ahaṃ <b>niggahessāmi</b> yoniso, hatthippabhinnaṃ viya aṅkusaggaho.","Formerly this mind wandered around on a walking tour wherever it liked, according to its pleasure, because of wanting, but now I will restrain [it] thoroughly like an elephant driver holding a hooked pole to an elephant in rut (i.e. with juices flowing)."
37845,nimmātar,nimmātā,MN49,,"eso hi, bhikkhu, brahmā mahābrahmā abhibhū anabhibhūto añña'd'atthudaso vasavattī issaro kattā <b>nimmātā</b> seṭṭho sajitā vasī pitā bhūtabhabyānaṃ.","Indeed, monk, this is Brahmā, great god almighty, supreme being, unvanquished, all seeing, wielding power, god, creator, designer, foremost assigner, master [and] father for those who are and who will be."
38403,nivāta 2,nivāto,KHP5,,"gāravo ca <b>nivāto</b> ca, santuṭṭhi ca kataññutā, kālena dhammassavanaṃ, etaṃ maṅgalam'uttamaṃ.","Reverence and humility, satisfaction and gratitude, Hearing the teaching at the right time; this is the highest blessing."
38691,nūparata 1.1,n'ūparato,SNP51,,"sa sabbadhammesu visenibhūto, yaṃ kiñci diṭṭhaṃ va sutaṃ mutaṃ vā, sa pannabhāro muni vippamutto, na kappiyo <b>n'ūparato</b> na patthiyo'ti.","“He, not opposing all things he has become, anything whatever that has been seen or heard or perceived, the sage who has laid down the load is freed, not stopped, not desiring.”"
38748,netta 2,nettā,TH251,,"aṭṭhapadakatā kesā, <b>nettā</b> añjanamakkhitā.","Head hair plaited eightfold, eyes smeared with eye ointment."
41449,paṭhamavasanta,paṭhamavasanto,THI71,,"madhurañ'ca pavanti sabbaso, kusumarajena samuṭṭhitā dumā, <b>paṭhamavasanto</b> sukho utu, ehi ramāma supupphite vane.","The trees laden with pollen exude a sweet smell all around by means of flower pollen; the first month of the season, spring, [is] pleasant; come! Let us take delight in the wood abounding in blossoms."
41784,patiṭṭhita 1,patiṭṭhitā,SN1.51,,"sīlaṃ yāva jarā sādhu, saddhā sādhu <b>patiṭṭhitā</b>, paññā narānaṃ ratanaṃ, puññaṃ corehi dūharan'ti.",“Virtue up to old age [is] good; faith [that is] established [is] good; wisdom [is] the jewel of humans; merit [is] hard for thieves to steal.”
41963,patthayāna,patthayāno,ITI76,,"sīlaṃ rakkheyya medhāvī, <b>patthayāno</b> tayo sukhe, pasaṃsaṃ vittalābhañ'ca, pecca sagge pamodanaṃ.","The intelligent man should protect virtue, aspiring for three pleasures: praise, the gaining of wealth, and after death delighting in heaven [realms]."
41976,patthiya 1,patthiyo,SNP51,,"sa sabbadhammesu visenibhūto, yaṃ kiñci diṭṭhaṃ va sutaṃ mutaṃ vā, sa pannabhāro muni vippamutto, na kappiyo n'ūparato na <b>patthiyo</b>'ti.","“He, not opposing all things he has become, anything whatever that has been seen or heard or perceived, the sage who has laid down the load is freed, not stopped, not desiring.”"
42356,panna,paññā,SN1.51,,"sīlaṃ yāva jarā sādhu, saddhā sādhu patiṭṭhitā, <b>paññā</b> narānaṃ ratanaṃ, puññaṃ corehi dūharan'ti.",“Virtue up to old age [is] good; faith [that is] established [is] good; wisdom [is] the jewel of humans; merit [is] hard for thieves to steal.”
42361,pannabhāra,pannabhāro,SNP51,,"sa sabbadhammesu visenibhūto, yaṃ kiñci diṭṭhaṃ va sutaṃ mutaṃ vā, sa <b>pannabhāro</b> muni vippamutto, na kappiyo n'ūparato na patthiyo'ti.","“He, not opposing all things he has become, anything whatever that has been seen or heard or perceived, the sage who has laid down the load is freed, not stopped, not desiring.”"
42625,pabhinna 1,pabhinnaṃ,DHP326,,"idaṃ pure cittam'acāri cārikaṃ, yen'icchakaṃ yatthakāmaṃ yathāsukhaṃ, tadajj'ahaṃ niggahessāmi yoniso, hatthippabhinnaṃ viya aṅkusaggaho.","Formerly this mind wandered around on a walking tour wherever it liked, according to its pleasure, because of wanting, but now I will restrain [it] thoroughly like an elephant driver holding a hooked pole to an elephant in rut (i.e. with juices flowing)."
42766,pamodanā,pamodanaṃ,ITI76,,"sīlaṃ rakkheyya medhāvī, patthayāno tayo sukhe, pasaṃsaṃ vittalābhañ'ca, pecca sagge <b>pamodanaṃ</b>.","The intelligent man should protect virtue, aspiring for three pleasures: praise, the gaining of wealth, and after death delighting in heaven [realms]."
43966,pariyāpuṇāti,pariyāpuṇanti,MN22,,"idha, bhikkhave, ekacce moghapurisā dhammaṃ <b>pariyāpuṇanti</b>, suttaṃ, geyyaṃ, veyyākaraṇaṃ, gāthaṃ, udānaṃ, itivuttakaṃ, jātakaṃ, abbhutadhammaṃ, vedallaṃ.","Here, monks, some foolish persons study well the teaching – discourses, mixed verses, detailed expositions, poems, inspired sayings, quotations, birth stories, marvellous accounts, questions-and-answers…"
44636,pasaṃsā,pasaṃsaṃ,ITI76,,"sīlaṃ rakkheyya medhāvī, patthayāno tayo sukhe, <b>pasaṃsaṃ</b> vittalābhañ'ca, pecca sagge pamodanaṃ.","The intelligent man should protect virtue, aspiring for three pleasures: praise, the gaining of wealth, and after death delighting in heaven [realms]."
44716,pasuta 1.1,,,,,
44899,pavāti,pavanti,THI71,,"madhurañ'ca <b>pavanti</b> sabbaso, kusumarajena samuṭṭhitā dumā, paṭhamavasanto sukho utu, ehi ramāma supupphite vane.","The trees laden with pollen exude a sweet smell all around by means of flower pollen; the first month of the season, spring, [is] pleasant; come! Let us take delight in the wood abounding in blossoms."
